figure_no,figure_id,caption_original,caption_ru,api_page,pdf_page,block_id,candidate_id,block_type,original_text,ru_text,stage3_translate,stage3_status,stage3_confidence,bbox_pdf_points_stage3,bbox_crop_pixels_stage3,bbox_asset_pixels_stage3k,bbox_tight_ink_stage3k,bbox_safe_stage3k,line_bboxes_stage3k,replacement_bbox_stage3l,font_size_stage3l,wrapped_ru_stage3l,master_status,action,source_of_approval,source_detail,figure_accepted_keep,user_scope_note,user_policy_note,s49_rebuild_required,do_not_use_v3_mass_output_as_approval
1,Figure 1,Figure 1—Thermowell Terminology,Рисунок 1 — Терминология защитной гильзы,24,32,block-013,,dimension_or_callout,B bore diameter,B — Диаметр отверстия,True,ok,0.75,"[382.0, 384.3, 448.53, 395.34]","[684, 609, 817, 631]","[684, 609, 817, 631]","[685, 614, 817, 635]","[683, 612, 819, 637]",,,,,accepted_composite_table_below,remove_from_drawing_include_in_2col_table,stage3_source_translate_true,approved_user_figure1_table_policy,yes,,Figure 1—Thermowell Terminology принято. B bore diameter … P external threaded connection считать встроенной таблицей: удалить с рисунка и включить ниже чертежа в композитную таблицу на 2 колонки.,no,yes
1,Figure 1,Figure 1—Thermowell Terminology,Рисунок 1 — Терминология защитной гильзы,24,32,block-014,,callout,E minimum tip thickness,E — Минимальная толщина наконечника,True,ok,0.75,"[382.0, 394.3, 481.53, 405.34]","[684, 629, 883, 651]","[684, 629, 883, 651]","[685, 625, 883, 655]","[683, 623, 885, 657]",,,,,accepted_composite_table_below,remove_from_drawing_include_in_2col_table,stage3_source_translate_true,approved_user_figure1_table_policy,yes,,Figure 1—Thermowell Terminology принято. B bore diameter … P external threaded connection считать встроенной таблицей: удалить с рисунка и включить ниже чертежа в композитную таблицу на 2 колонки.,no,yes
1,Figure 1,Figure 1—Thermowell Terminology,Рисунок 1 — Терминология защитной гильзы,24,32,block-015,,dimension_or_callout,Q base diameter,Q — Диаметр основания,True,ok,0.75,"[382.0, 404.3, 451.03, 415.34]","[684, 649, 822, 671]","[684, 649, 822, 671]","[685, 645, 826, 675]","[683, 643, 828, 677]",,,,,accepted_composite_table_below,remove_from_drawing_include_in_2col_table,stage3_source_translate_true,approved_user_figure1_table_policy,yes,,Figure 1—Thermowell Terminology принято. B bore diameter … P external threaded connection считать встроенной таблицей: удалить с рисунка и включить ниже чертежа в композитную таблицу на 2 колонки.,no,yes
1,Figure 1,Figure 1—Thermowell Terminology,Рисунок 1 — Терминология защитной гильзы,24,32,block-016,,callout,S bore depth,S — Глубина отверстия,True,ok,0.75,"[382.0, 414.3, 436.04, 425.33]","[684, 669, 792, 691]","[684, 669, 792, 692]","[685, 665, 796, 696]","[683, 663, 798, 698]",,,,,accepted_composite_table_below,remove_from_drawing_include_in_2col_table,stage3_source_translate_true,approved_user_figure1_table_policy,yes,,Figure 1—Thermowell Terminology принято. B bore diameter … P external threaded connection считать встроенной таблицей: удалить с рисунка и включить ниже чертежа в композитную таблицу на 2 колонки.,no,yes
1,Figure 1,Figure 1—Thermowell Terminology,Рисунок 1 — Терминология защитной гильзы,24,32,block-017,,callout,T lagging extension,T — Удлинение под теплоизоляцию,True,ok,0.75,"[382.0, 424.3, 462.55, 435.33]","[684, 689, 845, 711]","[684, 689, 845, 712]","[686, 685, 844, 716]","[684, 683, 846, 718]",,,,,accepted_composite_table_below,remove_from_drawing_include_in_2col_table,stage3_source_translate_true,approved_user_figure1_table_policy,yes,,Figure 1—Thermowell Terminology принято. B bore diameter … P external threaded connection считать встроенной таблицей: удалить с рисунка и включить ниже чертежа в композитную таблицу на 2 колонки.,no,yes
1,Figure 1,Figure 1—Thermowell Terminology,Рисунок 1 — Терминология защитной гильзы,24,32,block-018,,dimension_or_callout,U insertion length,U — Длина ввода,True,ok,0.75,"[382.0, 434.3, 454.54, 445.33]","[684, 709, 829, 731]","[684, 709, 829, 732]","[685, 705, 833, 736]","[683, 703, 835, 738]",,,,,accepted_composite_table_below,remove_from_drawing_include_in_2col_table,stage3_source_translate_true,approved_user_figure1_table_policy,yes,,Figure 1—Thermowell Terminology принято. B bore diameter … P external threaded connection считать встроенной таблицей: удалить с рисунка и включить ниже чертежа в композитную таблицу на 2 колонки.,no,yes
1,Figure 1,Figure 1—Thermowell Terminology,Рисунок 1 — Терминология защитной гильзы,24,32,block-019,,dimension_or_callout,V tip diameter,V — Диаметр наконечника,True,ok,0.75,"[382.0, 444.3, 440.03, 455.33]","[684, 729, 800, 751]","[684, 729, 800, 752]","[686, 725, 804, 756]","[684, 723, 806, 758]",,,,,accepted_composite_table_below,remove_from_drawing_include_in_2col_table,stage3_source_translate_true,approved_user_figure1_table_policy,yes,,Figure 1—Thermowell Terminology принято. B bore diameter … P external threaded connection считать встроенной таблицей: удалить с рисунка и включить ниже чертежа в композитную таблицу на 2 колонки.,no,yes
1,Figure 1,Figure 1—Thermowell Terminology,Рисунок 1 — Терминология защитной гильзы,24,32,block-020,,callout,b shank root fillet radius,b — Радиус галтели у основания хвостовика,True,ok,0.75,"[382.0, 454.3, 479.55, 465.33]","[684, 749, 879, 771]","[684, 749, 879, 772]","[684, 745, 879, 776]","[682, 743, 881, 778]",,,,,accepted_composite_table_below,remove_from_drawing_include_in_2col_table,stage3_source_translate_true,approved_user_figure1_table_policy,yes,,Figure 1—Thermowell Terminology принято. B bore diameter … P external threaded connection считать встроенной таблицей: удалить с рисунка и включить ниже чертежа в композитную таблицу на 2 колонки.,no,yes
1,Figure 1,Figure 1—Thermowell Terminology,Рисунок 1 — Терминология защитной гильзы,24,32,block-021,,dimension_or_callout,L total length (S + E),L — Общая длина (S + E),True,ok,0.75,"[382.0, 464.3, 466.8, 475.33]","[684, 769, 854, 791]","[684, 770, 854, 792]","[684, 766, 858, 796]","[682, 764, 860, 798]",,,,,accepted_composite_table_below,remove_from_drawing_include_in_2col_table,stage3_source_translate_true,approved_user_figure1_table_policy,yes,,Figure 1—Thermowell Terminology принято. B bore diameter … P external threaded connection считать встроенной таблицей: удалить с рисунка и включить ниже чертежа в композитную таблицу на 2 колонки.,no,yes
1,Figure 1,Figure 1—Thermowell Terminology,Рисунок 1 — Терминология защитной гильзы,24,32,block-022,,callout,N internal threaded connection,N — Внутреннее резьбовое присоединение,True,ok,0.75,"[382.0, 474.3, 507.07, 485.33]","[684, 789, 934, 811]","[684, 790, 934, 812]","[685, 786, 933, 816]","[683, 784, 935, 818]",,,,,accepted_composite_table_below,remove_from_drawing_include_in_2col_table,stage3_source_translate_true,approved_user_figure1_table_policy,yes,,Figure 1—Thermowell Terminology принято. B bore diameter … P external threaded connection считать встроенной таблицей: удалить с рисунка и включить ниже чертежа в композитную таблицу на 2 колонки.,no,yes
1,Figure 1,Figure 1—Thermowell Terminology,Рисунок 1 — Терминология защитной гильзы,24,32,block-023,,callout,P external threaded connection,P — Наружное резьбовое присоединение,True,ok,0.75,"[382.0, 484.29, 509.08, 495.33]","[684, 809, 938, 831]","[684, 810, 938, 828]","[685, 806, 937, 827]","[683, 804, 939, 828]",,,,,accepted_composite_table_below,remove_from_drawing_include_in_2col_table,stage3_source_translate_true,approved_user_figure1_table_policy,yes,,Figure 1—Thermowell Terminology принято. B bore diameter … P external threaded connection считать встроенной таблицей: удалить с рисунка и включить ниже чертежа в композитную таблицу на 2 колонки.,no,yes
1,Figure 1,Figure 1—Thermowell Terminology,Рисунок 1 — Терминология защитной гильзы,24,32,block-024,,note,NOTE 1 9 in. ASME B40.9 threaded thermowell with lagging extension shown.,ПРИМЕЧАНИЕ 1. Показана 9-дюймовая резьбовая защитная гильза по ASME B40.9 с удлинением под теплоизоляцию.,True,ok,0.55,,,,,,,,,,approved_not_inside_png,skip_caption_or_html_block,stage3_source_translate_true,caption/note is outside crop or represented as HTML,yes,,Figure 1—Thermowell Terminology принято. B bore diameter … P external threaded connection считать встроенной таблицей: удалить с рисунка и включить ниже чертежа в композитную таблицу на 2 колонки.,no,yes
1,Figure 1,Figure 1—Thermowell Terminology,Рисунок 1 — Терминология защитной гильзы,24,32,block-025,,note,NOTE 2 9 in. ASME B40.9 flanged thermowell with 11/2 NPS Class 300 flange shown.,ПРИМЕЧАНИЕ 2. Показана 9-дюймовая фланцевая защитная гильза по ASME B40.9 с фланцем NPS 1 1 2 класса 300.,True,ok,0.55,,,,,,,,,,approved_not_inside_png,skip_caption_or_html_block,stage3_source_translate_true,caption/note is outside crop or represented as HTML,yes,,Figure 1—Thermowell Terminology принято. B bore diameter … P external threaded connection считать встроенной таблицей: удалить с рисунка и включить ниже чертежа в композитную таблицу на 2 колонки.,no,yes
1,Figure 1,Figure 1—Thermowell Terminology,Рисунок 1 — Терминология защитной гильзы,24,32,block-026,,note_group,"NOTE 1 9 in. ASME B40.9 threaded thermowell with lagging extension shown.
NOTE 2 9 in. ASME B40.9 flanged thermowell with 11/2 NPS Class 300 flange shown.",ПРИМЕЧАНИЕ 1. Показана 9-дюймовая резьбовая защитная гильза по ASME B40.9 с удлинением под теплоизоляцию. ПРИМЕЧАНИЕ 2. Показана 9-дюймовая фланцевая защитная гильза по ASME B40.9 с фланцем NPS 1 1 2 класса 300.,False,coordinates_only,,,,,,,,,,,approved_not_inside_png,skip_caption_or_html_block,stage3_source_nontranslated_protected,caption/note is outside crop or represented as HTML,yes,,Figure 1—Thermowell Terminology принято. B bore diameter … P external threaded connection считать встроенной таблицей: удалить с рисунка и включить ниже чертежа в композитную таблицу на 2 колонки.,no,yes
2,Figure 2,Figure 2—Thermowell Installation,Рисунок 2 — Установка защитной гильзы,25,33,block-001,,caption,Figure 2—Thermowell Installation,Рисунок 2 — Установка защитной гильзы,True,caption,0.95,"[232.68, 706.55, 391.69, 717.66]",,,,,,,,,approved_not_inside_png,skip_caption_or_html_block,stage3_source_translate_true,caption/note is outside crop or represented as HTML,no,,6.35 mm (0.250 in.) Sheathed element — единая двухстрочная надпись.,yes,yes
2,Figure 2,Figure 2—Thermowell Installation,Рисунок 2 — Установка защитной гильзы,25,33,block-002,,dimension,6.35 mm (0.250 in.),"6,35 мм (0.250″)",False,pure_linear_dimension,0.75,"[166.52, 129.25, 244.56, 138.25]","[253, 98, 409, 116]",,,,,,,,not_for_translation,protect_do_not_translate,stage3_source_nontranslated_protected,pure_linear_dimension,no,,6.35 mm (0.250 in.) Sheathed element — единая двухстрочная надпись.,yes,yes
2,Figure 2,Figure 2—Thermowell Installation,Рисунок 2 — Установка защитной гильзы,25,33,block-003,,callout,Sheathed element,Элемент в оболочке,True,ok,0.55,,,"[273, 123, 409, 141]","[274, 124, 409, 137]","[272, 122, 411, 139]",,,,,needs_master_review_or_rebuild,rebuild_from_original_pdf_s49_or_manual,stage3_source_translate_true,not in accepted figure set; use approved source labels and new compact bbox strategy,no,,6.35 mm (0.250 in.) Sheathed element — единая двухстрочная надпись.,yes,yes
2,Figure 2,Figure 2—Thermowell Installation,Рисунок 2 — Установка защитной гильзы,25,33,block-004,,callout,Tapered thermowell,Коническая защитная гильза,True,ok,0.75,"[194.32, 167.72, 237.83, 187.61]","[309, 175, 396, 215]","[309, 175, 396, 215]","[309, 176, 395, 211]","[307, 174, 397, 213]",,,,,needs_master_review_or_rebuild,rebuild_from_original_pdf_s49_or_manual,stage3_source_translate_true,not in accepted figure set; use approved source labels and new compact bbox strategy,no,,6.35 mm (0.250 in.) Sheathed element — единая двухстрочная надпись.,yes,yes
2,Figure 2,Figure 2—Thermowell Installation,Рисунок 2 — Установка защитной гильзы,25,33,block-005,,callout,C (Note 1),C (примечание 1),True,ok,0.75,"[422.04, 178.84, 461.27, 187.84]","[764, 198, 843, 216]","[764, 198, 843, 216]","[765, 199, 842, 220]","[763, 197, 844, 222]",,,,,needs_master_review_or_rebuild,rebuild_from_original_pdf_s49_or_manual,stage3_source_translate_true,not in accepted figure set; use approved source labels and new compact bbox strategy,no,,6.35 mm (0.250 in.) Sheathed element — единая двухстрочная надпись.,yes,yes
2,Figure 2,Figure 2—Thermowell Installation,Рисунок 2 — Установка защитной гильзы,25,33,block-006,,dimension,120 mm (5 in.) TYP,"120 мм (5″), тип.",False,pure_linear_dimension,0.75,"[380.02, 306.38, 457.88, 315.38]","[680, 453, 836, 471]",,,,,,,,not_for_translation,protect_do_not_translate,stage3_source_nontranslated_protected,pure_linear_dimension,no,,6.35 mm (0.250 in.) Sheathed element — единая двухстрочная надпись.,yes,yes
2,Figure 2,Figure 2—Thermowell Installation,Рисунок 2 — Установка защитной гильзы,25,33,block-007,,dimension_or_callout,1½ in. NPS Flange,Фланец NPS 1½″,True,check,0.75,"[164.32, 320.22, 239.86, 329.22]","[249, 480, 400, 498]",,,,,,,,needs_master_review_or_rebuild,rebuild_from_original_pdf_s49_or_manual,stage3_source_translate_true,not in accepted figure set; use approved source labels and new compact bbox strategy,no,,6.35 mm (0.250 in.) Sheathed element — единая двухстрочная надпись.,yes,yes
2,Figure 2,Figure 2—Thermowell Installation,Рисунок 2 — Установка защитной гильзы,25,33,block-008,,dimension_or_callout,6 in. NPS MIN (Note 5),NPS 6″ мин. (примечание 5),True,ok,0.75,"[146.53, 356.52, 238.56, 365.52]","[213, 553, 397, 571]",,,,,,,,needs_master_review_or_rebuild,rebuild_from_original_pdf_s49_or_manual,stage3_source_translate_true,not in accepted figure set; use approved source labels and new compact bbox strategy,no,,6.35 mm (0.250 in.) Sheathed element — единая двухстрочная надпись.,yes,yes
2,Figure 2,Figure 2—Thermowell Installation,Рисунок 2 — Установка защитной гильзы,25,33,block-009,,dimension_or_callout,50 mm (2 in.) MIN (Note 6),50 мм (2″) мин. (примечание 6),True,ok,0.75,"[387.18, 409.55, 494.2, 418.55]","[694, 659, 908, 677]",,,,,,,,needs_master_review_or_rebuild,rebuild_from_original_pdf_s49_or_manual,stage3_source_translate_true,not in accepted figure set; use approved source labels and new compact bbox strategy,no,,6.35 mm (0.250 in.) Sheathed element — единая двухстрочная надпись.,yes,yes
2,Figure 2,Figure 2—Thermowell Installation,Рисунок 2 — Установка защитной гильзы,25,33,block-010,,note,"NOTE 1 To allow well removal, Dimension C should be 610 mm (24 in.) or the total length of the thermowell plus 76 mm (3 in.), whichever is greater.","ПРИМЕЧАНИЕ 1. Для обеспечения демонтажа гильзы размер C должен составлять 610 мм (24″) или полную длину защитной гильзы плюс 76 мм (3″), в зависимости от того, что больше.",True,ok,0.75,"[107.88, 539.71, 497.04, 558.71]","[136, 919, 914, 957]",,,,,,,,approved_not_inside_png,skip_caption_or_html_block,stage3_source_translate_true,caption/note is outside crop or represented as HTML,no,,6.35 mm (0.250 in.) Sheathed element — единая двухстрочная надпись.,yes,yes
2,Figure 2,Figure 2—Thermowell Installation,Рисунок 2 — Установка защитной гильзы,25,33,block-011,,note,"NOTE 2 To prevent pockets, eccentric reducers should be provided on horizontal pipe.",ПРИМЕЧАНИЕ 2. Для предотвращения образования карманов на горизонтальном трубопроводе следует предусматривать эксцентрические переходы.,True,ok,0.75,"[107.88, 565.71, 457.54, 574.71]","[136, 971, 835, 989]",,,,,,,,approved_not_inside_png,skip_caption_or_html_block,stage3_source_translate_true,caption/note is outside crop or represented as HTML,no,,6.35 mm (0.250 in.) Sheathed element — единая двухстрочная надпись.,yes,yes
2,Figure 2,Figure 2—Thermowell Installation,Рисунок 2 — Установка защитной гильзы,25,33,block-012,,note,NOTE 3 The inside diameter of the branch connection should ≥1 in.,ПРИМЕЧАНИЕ 3. Внутренний диаметр ответвительного присоединения должен быть не менее 1″.,True,ok,0.55,,,,,,,,,,approved_not_inside_png,skip_caption_or_html_block,stage3_source_translate_true,caption/note is outside crop or represented as HTML,no,,6.35 mm (0.250 in.) Sheathed element — единая двухстрочная надпись.,yes,yes
2,Figure 2,Figure 2—Thermowell Installation,Рисунок 2 — Установка защитной гильзы,25,33,block-013,,note,NOTE 4 In non-cryogenic services the thermowell preferably is installed on the top of the pipe. For cryogenic liquids to avoid trapping vapors it is recommended that the well be located in the arc from the horizontal plane to 45° below that point.,"ПРИМЕЧАНИЕ 4. Для некриогенных сред защитную гильзу предпочтительно устанавливать сверху трубопровода. Для криогенных жидкостей, чтобы избежать скопления паров, рекомендуется располагать гильзу в секторе от горизонтальной плоскости до 45° ниже этой точки.",True,ok,0.75,"[107.88, 597.71, 503.55, 626.71]","[136, 1035, 927, 1093]",,,,,,,,approved_not_inside_png,skip_caption_or_html_block,stage3_source_translate_true,caption/note is outside crop or represented as HTML,no,,6.35 mm (0.250 in.) Sheathed element — единая двухстрочная надпись.,yes,yes
2,Figure 2,Figure 2—Thermowell Installation,Рисунок 2 — Установка защитной гильзы,25,33,block-014,,note,NOTE 5 Minimum pipe size can vary with the depth of the nozzle and the length of the well selected. See PIP PNF0200 concerning process pipe connections.,ПРИМЕЧАНИЕ 5. Минимальный размер трубопровода может изменяться в зависимости от глубины штуцера и выбранной длины защитной гильзы . Сведения о технологических трубных присоединениях см. в PIP PNF0200.,True,ok,0.55,,,,,,,,,,approved_not_inside_png,skip_caption_or_html_block,stage3_source_translate_true,caption/note is outside crop or represented as HTML,no,,6.35 mm (0.250 in.) Sheathed element — единая двухстрочная надпись.,yes,yes
2,Figure 2,Figure 2—Thermowell Installation,Рисунок 2 — Установка защитной гильзы,25,33,block-015,,note,"NOTE 6 To allow for the element length, the minimum depth for RTDs and Bimetal indicators should be 75 mm (3 in.).",ПРИМЕЧАНИЕ 6. С учётом длины чувствительного элемента минимальная глубина для RTD и биметаллических индикаторов должна составлять 75 мм (3″).,True,ok,0.55,,,,,,,,,,approved_not_inside_png,skip_caption_or_html_block,stage3_source_translate_true,caption/note is outside crop or represented as HTML,no,,6.35 mm (0.250 in.) Sheathed element — единая двухстрочная надпись.,yes,yes
2,Figure 2,Figure 2—Thermowell Installation,Рисунок 2 — Установка защитной гильзы,25,33,block-016,,note_group,"NOTE 1 To allow well removal, Dimension C should be 610 mm (24 in.) or the total length of the thermowell plus 76 mm (3 in.), whichever is greater.
NOTE 2 To prevent pockets, eccentric reducers should be provided on horizontal pipe.
NOTE 3 The inside diameter of the branch connection should ≥1 in.
NOTE 4 In non-cryogenic services the thermowell preferably is installed on the top of the pipe. For cryogenic liquids to avoid trapping vapors it is recommended that the well be located in the arc from the horizontal plane to 45° below that point.
NOTE 5 Minimum pipe size can vary with the depth of the nozzle and the length of the well selected. See PIP PNF0200 concerning process pipe connections.
NOTE 6 To allow for the element length, the minimum depth for RTDs and Bimetal indicators should be 75 mm (3 in.).","ПРИМЕЧАНИЕ 1. Для обеспечения демонтажа гильзы размер C должен составлять 610 мм (24″) или полную длину защитной гильзы плюс 76 мм (3″), в зависимости от того, что больше. ПРИМЕЧАНИЕ 2. Для предотвращения образования карманов на горизонтальном трубопроводе следует предусматривать эксцентрические переходы. ПРИМЕЧАНИЕ 3. Внутренний диаметр ответвительного присоединения должен быть не менее 1″. ПРИМЕЧАНИЕ 4. Для некриогенных сред защитную гильзу предпочтительно устанавливать сверху трубопровода. Для криогенных жидкостей, чтобы избежать скопления паров, рекомендуется располагать гильзу в секторе от горизонтальной плоскости до 45° ниже этой точки. ПРИМЕЧАНИЕ 5. Минимальный размер трубопровода может изменяться в зависимости от глубины штуцера и выбранной длины защитной гильзы . Сведения о технологических трубных присоединениях см. в PIP PNF0200. ПРИМЕЧАНИЕ 6. С учётом длины чувствительного элемента минимальная глубина для RTD и биметаллических индикаторов должна составлять 75 мм (3″).",False,coordinates_only,,"[107.88, 539.71, 503.55, 626.71]",,"[309, 197, 396, 215]","[309, 198, 395, 211]","[307, 196, 397, 213]",,,,,approved_not_inside_png,skip_caption_or_html_block,stage3_source_nontranslated_protected,caption/note is outside crop or represented as HTML,no,,6.35 mm (0.250 in.) Sheathed element — единая двухстрочная надпись.,yes,yes
3,Figure 3,Figure 3—Standard Thermowells,Рисунок 3 — Стандартные защитные гильзы,27,35,,fig03_stage3j_candidate_0001,,ó LQ,,,stage3k_candidate_only,0.9997177720069884,,,"[618, 143, 648, 160]","[614, 143, 651, 159]","[612, 141, 653, 161]","[[618, 143, 648, 160]]",,,,manual_or_strategy_change,manual_review_before_rebuild,stage3k_manual,Не входит в утверждённый пользовательский список или не прошёл фильтр кандидатов.,yes,,,no,yes
3,Figure 3,Figure 3—Standard Thermowells,Рисунок 3 — Стандартные защитные гильзы,27,35,,fig03_stage3j_candidate_0002,,ó LQ,,,stage3k_candidate_only,0.9999799132347108,,,"[267, 18, 296, 34]","[268, 18, 300, 38]","[266, 16, 302, 40]","[[267, 18, 296, 34]]",,,,manual_or_strategy_change,manual_review_before_rebuild,stage3k_manual,Не входит в утверждённый пользовательский список или не прошёл фильтр кандидатов.,yes,,,no,yes
3,Figure 3,Figure 3—Standard Thermowells,Рисунок 3 — Стандартные защитные гильзы,27,35,,fig03_stage3j_candidate_0004,,(129/32 LQ,,,stage3k_candidate_only,0.9999359250068665,,,"[146, 201, 204, 218]","[147, 202, 208, 222]","[145, 200, 210, 224]","[[146, 201, 204, 218]]",,,,manual_or_strategy_change,manual_review_before_rebuild,stage3k_manual,Не входит в утверждённый пользовательский список или не прошёл фильтр кандидатов.,yes,,,no,yes
3,Figure 3,Figure 3—Standard Thermowells,Рисунок 3 — Стандартные защитные гильзы,27,35,,fig03_stage3j_candidate_0004,,ǩ LQ,,,stage3k_candidate_only,0.9997177720069884,,,"[436, 175, 465, 191]","[436, 175, 468, 188]","[434, 173, 470, 190]","[[436, 175, 465, 191]]",,,,manual_or_strategy_change,manual_review_before_rebuild,stage3k_manual,Не входит в утверждённый пользовательский список или не прошёл фильтр кандидатов.,yes,,,no,yes
